,가게링크,가게이름,가게주소,구 이름,별점
219,https://place.map.kakao.com/789540459,부추삼겹살 딱이야 본점,서울 관악구 신림동5길 49 1층,관악구,4.3
220,https://place.map.kakao.com/818697430,속초오징어어시장 사당점,"서울 관악구 남현1길 47 1,2층",관악구,4.1
221,https://place.map.kakao.com/10232027,대원갈비,서울 관악구 신림로67길 5,관악구,3.0
222,https://place.map.kakao.com/798497368,도쿄술집 신림역점,서울 관악구 남부순환로 1600-20 2층,관악구,2.4
223,https://place.map.kakao.com/949520061,포도원삼계탕 2호점,서울 관악구 신림로 312,관악구,3.5
224,https://place.map.kakao.com/498327338,모다모다,서울 관악구 관악로14길 36 1층,관악구,4.2
225,https://place.map.kakao.com/169982583,돌체,서울 관악구 쑥고개로 84 1층,관악구,4.4
226,https://place.map.kakao.com/1462316684,라공방 서울대직영점,서울 관악구 관악로 163,관악구,3.4
227,https://place.map.kakao.com/16448678,한근한방삼계탕,서울 관악구 봉천로 396,관악구,2.5
228,https://place.map.kakao.com/179734609,카페녹다,서울 관악구 신림로15길 31,관악구,4.2
229,https://place.map.kakao.com/25018315,남고집 신림점,"서울 관악구 남부순환로 1625 1,2층",관악구,4.1
230,https://place.map.kakao.com/27269000,육회공작소 신림점,서울 관악구 신림로59길 8-3 2층,관악구,3.0
231,https://place.map.kakao.com/16296276,산야로콩나물국밥,서울 관악구 관악로 111,관악구,4.2
232,https://place.map.kakao.com/20908729,스타벅스 신림사거리점,"서울 관악구 남부순환로 1619 영일빌딩 1, 2층",관악구,4.2
233,https://place.map.kakao.com/1553343805,봉평옹심이메밀칼국수,서울 관악구 봉천로6길 14,관악구,4.3
234,https://place.map.kakao.com/629496382,남도포장마차,서울 관악구 청룡2길 3 1층,관악구,3.5
235,https://place.map.kakao.com/1919497598,봉구통닭 신림역점,서울 관악구 신림로59길 11 1층,관악구,4.7
236,https://place.map.kakao.com/622035106,리버벨,서울 관악구 남현2길 18 1층,관악구,4.3
237,https://place.map.kakao.com/24874389,킹크랩대게한상 봉천점,서울 관악구 남부순환로 1685,관악구,2.1
238,https://place.map.kakao.com/12365699,지기네불닭발 본점,서울 관악구 조원로 5-14,관악구,4.2
239,https://place.map.kakao.com/17736099,투썸플레이스 사당점,서울 관악구 남부순환로 2082-33 성광빌딩 1층,관악구,2.4
240,https://place.map.kakao.com/18358291,다글다글,서울 관악구 남현길 63-5 1층,관악구,4.7
241,https://place.map.kakao.com/16083565,호남손팥칼국수,서울 관악구 봉천로 425,관악구,4.4
242,https://place.map.kakao.com/15617815,마티스커피 신림점,서울 관악구 신림로59길 15-6 2층,관악구,3.8
243,https://place.map.kakao.com/2013809136,숙성대광어가람,서울 관악구 봉천로 483,관악구,3.4
244,https://place.map.kakao.com/21524572,종로곱창,서울 관악구 남부순환로145길 29,관악구,3.5
245,https://place.map.kakao.com/25067887,도리도리하찌,서울 관악구 관악로14길 77,관악구,2.4
246,https://place.map.kakao.com/496082334,어사출또 서울대입구역점,서울 관악구 봉천로49길 3,관악구,3.0
247,https://place.map.kakao.com/699361037,플레이온보드게임카페 신림점,서울 관악구 남부순환로 1592 3층,관악구,5.0
248,https://place.map.kakao.com/1138403559,분짜하노이 서울대입구점,서울 관악구 관악로 154 지하 1층,관악구,3.9
249,https://place.map.kakao.com/1114713895,오늘그대와,서울 관악구 관악로14길 65 지하1층,관악구,2.5
250,https://place.map.kakao.com/246370372,커피볶는여자,서울 관악구 관악로14가길 2,관악구,4.2
251,https://place.map.kakao.com/14596484,백년초왕갈비탕 서울대점,서울 관악구 신림로7길 10,관악구,3.7
252,https://place.map.kakao.com/1070769122,피자보이시나 서울대점,서울 관악구 남부순환로234길 31 1층,관악구,4.5
253,https://place.map.kakao.com/1992305554,계탄언니,서울 관악구 과천대로 951 연송빌딩 지하1층 가호,관악구,3.4
254,https://place.map.kakao.com/286727954,황제갈비,서울 관악구 남부순환로 1644,관악구,4.6
255,https://place.map.kakao.com/7960862,솟대막걸리양조장,서울 관악구 신림로 305 3층,관악구,3.8
256,https://place.map.kakao.com/16682239,독도해물탕 신림점,서울 관악구 남부순환로 1597-11,관악구,4.7
257,https://place.map.kakao.com/16557238,풍년옥,서울 관악구 관악로15길 9 1층,관악구,3.7
258,https://place.map.kakao.com/8093049,진화로 신림본점,서울 관악구 신림동길 10,관악구,3.3
259,https://place.map.kakao.com/1056160303,보스커피&브런치,서울 관악구 봉천로33길 7 1층,관악구,4.6
260,https://place.map.kakao.com/1365523397,장수촌 풍천장어직판장,서울 관악구 봉천로 258,관악구,3.8
